Offer Types,Locations,Prices,Parameters
продава,"Бургас, Зорница","
129 500  EUR
","

                            Етаж: 2 от 5                        
Цена на /м2/: 1 144 EUR
"
продава,"Бургас, Сарафово","
42 000  EUR
","

                            Етаж: 6 от 6                        
Цена на /м2/: 1 650 EUR
"
продава,"Бургас, Индустриална Зона","
1 400 000  EUR
","

                            Етаж: 1                        
Цена на /м2/: 1 474 EUR
"
Място за вашата обява!,"Бургас, Меден Рудник","
                                                    75 500 EUR
","

                            Етаж: 15 от 17                        
Цена на /м2/: 1 992 EUR
"
продава,"Бургас, Лазур","
                                                    75 900 EUR
","

                            Етаж: 5 от 6                        
Цена на /м2/: 1 110 EUR
"
АДРЕС Недвижими имоти АД,"Бургас, Меден Рудник","
                                                    117 900 EUR
","

                            Етаж:  от 7                        
Цена на /м2/: 1 623 EUR
"
продава,"Бургас, Лазур","
                                                    119 500 EUR
","
Цена на /м2/: 65 EUR
"
АДРЕС Недвижими имоти АД,"Бургас, Възраждане","
                                                    129 900 EUR
","
Цена на /м2/: 28 EUR
"
продава,"Бургас, Център","
                                                    250 000 EUR
","
Цена на /м2/: 10 EUR
"
АДРЕС Недвижими имоти АД,"Бургас, Индустриална Зона","
                                                    2 046 000 EUR
","
Цена на /м2/: 17 EUR
"
продава,"Бургас, Метро","
                                                    840 EUR
","

                            Етаж:                         
Цена на /м2/: 411 EUR
"
АДРЕС Недвижими имоти АД,"Бургас, кв.Банево","
                                                    9 999 EUR
","
Цена на /м2/: 2 EUR
"
продава,"Бургас, кв.Банево","
                                                    10 000 EUR
","

                            Етаж: 3 от 4                        
Цена на /м2/: 536 EUR
"
АДРЕС Недвижими имоти АД,"Бургас, Възраждане","
                                                    11 500 EUR
","

                            Етаж:                         
Цена на /м2/: 589 EUR
"
продава,"Бургас, Рудник","
                                                    15 000 EUR
","

                            Етаж:                         
Цена на /м2/: 589 EUR
"
Luximmo Finest Estates,"Бургас, Меден Рудник","
                                                    15 000 EUR
","

                            Етаж:                         
Цена на /м2/: 971 EUR
"
продава,"Бургас, Меден Рудник","
                                                    16 500 EUR
","

                            Етаж: 0                        
Цена на /м2/: 1 179 EUR
"
АБКЦ,"Бургас, Меден Рудник","
                                                    16 500 EUR
","
Цена на /м2/: 18 EUR
"
продава,"Бургас, Меден Рудник","
                                                    16 500 EUR
","
Цена на /м2/: 18 EUR
"
Дом Имоти -Бургас,"Бургас, Център","
                                                    16 500 EUR
","
Цена на /м2/: 29 EUR
"
продава,"Бургас, кв.Банево","
                                                    18 000 EUR
","

                            Етаж:  от 8                        
Цена на /м2/: 779 EUR
"
BULGARIAN PROPERTIES,"Бургас, кв.Банево","
                                                    18 000 EUR
","


                            Брой етажи: 1
                        
Цена на /м2/: 302 EUR
"
продава,Бургас,"
                                                    18 500 EUR
","

                            Етаж:  от 5                        
Цена на /м2/: 652 EUR
"
Явлена Бургас,"Бургас, Меден Рудник","
                                                    18 700 EUR
","
Цена на /м2/: 66 EUR
"
продава,"Бургас, Център","
                                                    19 600 EUR
","

                            Етаж: 21 от 30                        
Цена на /м2/: 391 EUR
"
Недвижими имоти РИЧ,"Бургас, Възраждане","
                                                    21 500 EUR
","

                            Етаж: 1 от 6                        
Цена на /м2/: 1 389 EUR
"
продава,"Бургас, Център","
                                                    22 200 EUR
","

                            Етаж: 0 от 5                        
Цена на /м2/: 1 136 EUR
"
Явлена Бургас,"Бургас, Меден Рудник","
                                                    22 300 EUR
","
Цена на /м2/: 25 EUR
"
продава,"Бургас, Възраждане","
                                                    25 000 EUR
","
Цена на /м2/: 22 EUR
"
ЕКС НВД,"Бургас, Център","
                                                    25 000 EUR
","
Цена на /м2/: 6 EUR
"
